PostID,CommenterPersonID,Timestamp,Comment,
@P01,@3,0,Congratulations on the big deal! Your hard work is paying off.,
@P02,@7,0,Nothing beats a good hike! Where did you go this time?,
@P03,@1,0,Enjoy the symphony! Which composer are they featuring tonight?,
@P04,@3,0,That's awesome! Which charity were you supporting?,
@P05,@7,0,Happy anniversary! Wishing you many more years of happiness together.,
@P11,@14,0,So proud of you for standing up for what you believe in!,
@P12,@16,0,Thank you for helping out our furry friends! Which shelter did you volunteer at?,
@P13,@14,0,I'd love to read your new poem! Will you be sharing it online?,
@P14,@16,0,Education is key to progress. What was the main topic of the lecture?,
@P15,@14,0,Friendship is indeed a treasure. Let's catch up soon!,
@P21,@1,0,Congrats on the product launch! Can't wait to see what you've created.,
@P22,@7,0,Road trips are the best! Where did you guys go?,
@P23,@5,0,Tech conferences are always exciting. What was the most interesting thing you learned?,
@P24,@1,0,Once a Trojan, always a Trojan! Go USC!
@P25,@7,0,Gratitude is so important. What are you most grateful for today?,
@P31,@10,0,What book did you finish? Always looking for good recommendations!,
@P32,@18,0,Solo hikes are so refreshing. Where's your favorite trail?,
@P33,@10,0,Mindfulness is so important. What's your favorite mindfulness practice?,
@P34,@18,0,Journaling is such a great habit. How long have you been doing it?,
@P35,@10,0,Growth is indeed a journey. What's the biggest lesson you've learned recently?,
@P41,@3,0,Congrats on the presentation! What was the main focus of your research?,
@P42,@5,0,Stargazing is magical. Did you see any constellations?,
@P43,@3,0,Quantum physics is fascinating! What was the most interesting thing you learned?,
@P44,@5,0,Mentorship is so important in science. How many mentees do you have?,
@P45,@3,0,Curiosity is the driving force of science! What's your current research focus?,
@P51,@14,0,So proud of you for standing up for what's right! What was the march about?,
@P52,@7,0,Dancing is the best therapy! Glad you had a fun night out.,
@P53,@14,0,Your dedication to activism is inspiring. What cause were you protesting for?,
@P54,@7,0,Thank you for giving back to the community. Which shelter did you volunteer at?,
@P55,@14,0,Your passion for change is contagious. Keep making a difference!,
@P61,@1,0,Teaching is such a noble profession. What subject do you teach?,
@P62,@3,0,Nature walks are so rejuvenating. Where's your favorite spot to reflect?,
@P63,@1,0,Education reform is crucial. What were the main topics discussed?,
@P64,@3,0,I'd love to read your blog post! Can you share the link?,
@P65,@1,0,Teachers like you make such a big impact. Thank you for your dedication!,
@P71,@5,0,Museums are great for expanding knowledge. Which exhibit did you explore?,
@P72,@3,0,Art workshops can be so inspiring. What medium did you work with?,
@P73,@5,0,Spontaneous adventures are the best! Where did you end up going?,
@P74,@3,0,I'd love to read your poem! Will you be sharing it online?,
@P75,@5,0,A growth mindset is so important. What's the biggest lesson you've learned recently?,
@P81,@7,0,Engaging with local issues is so important. What were the main topics discussed?,
@P82,@9,0,Political fundraisers can be interesting. Which cause were you supporting?,
@P83,@7,0,Hiking is great for clearing the mind. Where's your favorite trail?,
@P84,@9,0,Community engagement is crucial. What issues did you address at the town hall?,
@P85,@7,0,Op-eds are a great way to share perspectives. What topic did you write about?,
@P91,@4,0,Thank you for volunteering! Which shelter did you help out at?,
@P92,@18,0,Social justice workshops are so important. What was the main focus?,
@P93,@4,0,Mental health awareness is crucial. What aspects did you cover in your blog post?,
@P94,@18,0,Hiking with friends is the best! Where did you go?,
@P95,@4,0,Your dedication to social work is admirable. What's been your most rewarding experience?,
@P101,@1,0,Congratulations on closing the big deal! Your hard work is paying off.,
@P102,@3,0,Finance conferences can be so insightful. What was the most interesting thing you learned?,
@P103,@1,0,Hiking is a great way to recharge. Where's your favorite trail?,
@P104,@3,0,I'd love to read your blog post on investing. Can you share the link?,
@P105,@1,0,It's great to see finance professionals giving back. What kind of impact are you making?,
@P111,@2,0,Arguing cases must be intense! How did it go?,
@P112,@4,0,Legal conferences are great for staying updated. What were the key topics discussed?,
@P113,@2,0,Camping is such a great way to unwind. Where did you go?,
@P114,@4,0,I'm interested in your perspective on legal reform. What aspects did you cover in your article?,
@P115,@2,0,The legal profession can truly change lives. What's been your most rewarding case so far?,
@P121,@7,0,Experiments are exciting! What are you currently researching?,
@P122,@18,0,Science conferences are always fascinating. Did you present any of your work?,
@P123,@7,0,Nature walks are so refreshing. Where's your go-to spot for clearing your mind?,
@P124,@18,0,I'd be interested in reading your research paper. What were your main findings?,
@P125,@7,0,Curiosity is indeed the driving force of science. What's your current area of focus?,
@P131,@2,0,Teaching is such a rewarding profession. What subject do you teach?,
@P132,@6,0,Education conferences can be so inspiring. What were the main themes this year?,
